,Salary,SalaryType,YearsCoding,YearsCodingProf,Currency,SalaryUSD
127,75000.0,Yearly,3-5 years,3-5 years,Australian dollars (A$),48750.0
131,12000.0,Monthly,3-5 years,3-5 years,Polish złoty (zł),36000.0
132,40000.0,Yearly,9-11 years,6-8 years,Euros (€),42800.0
133,200000.0,Monthly,15-17 years,12-14 years,Indian rupees (₹),28800.0
134,25000.0,Yearly,6-8 years,0-2 years,British pounds sterling (£),31000.0
136,37000.0,Monthly,6-8 years,3-5 years,Swedish kroner (SEK),40848.0
139,1770000.0,Yearly,9-11 years,6-8 years,Indian rupees (₹),21240.0
140,70000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),70000.0
141,30000.0,Monthly,15-17 years,6-8 years,Danish krone (kr),50400.0
142,75000.0,Yearly,6-8 years,0-2 years,Australian dollars (A$),48750.0
149,40000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),5760.0
150,105000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),105000.0
158,3000.0,Monthly,12-14 years,12-14 years,U.S. dollars ($),36000.0
159,120000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),120000.0
160,4200.0,Monthly,6-8 years,3-5 years,Euros (€),53928.0
161,35000.0,Yearly,9-11 years,6-8 years,Euros (€),37450.0
164,53000.0,Yearly,12-14 years,9-11 years,Euros (€),56710.0
167,3000.0,Monthly,15-17 years,6-8 years,U.S. dollars ($),36000.0
169,97000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),97000.0
171,33000.0,Yearly,9-11 years,6-8 years,British pounds sterling (£),40920.0
173,40000.0,Monthly,15-17 years,9-11 years,Swedish kroner (SEK),44160.0
175,40000.0,Yearly,6-8 years,6-8 years,Euros (€),42800.0
177,1800.0,Monthly,0-2 years,0-2 years,Brazilian reais (R$),4104.0
178,125000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),125000.0
184,2700.0,Monthly,12-14 years,6-8 years,Euros (€),34668.0
188,24000.0,Yearly,6-8 years,0-2 years,Euros (€),25680.0
190,92500.0,Yearly,18-20 years,15-17 years,Canadian dollars (C$),67525.0
193,1080.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),12960.0
195,60000.0,Yearly,15-17 years,9-11 years,Euros (€),64200.00000000001
197,90000.0,Monthly,18-20 years,15-17 years,U.S. dollars ($),1080000.0
198,65000.0,Yearly,12-14 years,6-8 years,British pounds sterling (£),80600.0
199,100000.0,Yearly,15-17 years,15-17 years,Euros (€),107000.0
200,450000.0,Yearly,6-8 years,3-5 years,South African rands (R),23400.0
201,800.0,Monthly,9-11 years,3-5 years,Euros (€),10272.0
202,100000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),100000.0
211,3200.0,Monthly,12-14 years,6-8 years,Euros (€),41088.0
212,77000.0,Yearly,6-8 years,3-5 years,Australian dollars (A$),50050.0
213,1700000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),20400.0
215,100000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),14400.0
218,16875.0,Yearly,0-2 years,0-2 years,British pounds sterling (£),20925.0
219,35000.0,Yearly,24-26 years,21-23 years,Euros (€),37450.0
221,228000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),2736.0
225,95000.0,Monthly,9-11 years,9-11 years,U.S. dollars ($),1140000.0
226,120000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),1440.0
229,65000.0,Yearly,12-14 years,3-5 years,Euros (€),69550.0
233,520000.0,Yearly,15-17 years,6-8 years,Indian rupees (₹),6240.0
235,81000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),81000.0
236,30000.0,Monthly,9-11 years,9-11 years,Euros (€),385200.00000000006
241,9500.0,Monthly,3-5 years,3-5 years,Polish złoty (zł),28500.0
242,65000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),65000.0
243,5800.0,Monthly,9-11 years,9-11 years,Brazilian reais (R$),13224.0
246,38000.0,Yearly,12-14 years,6-8 years,British pounds sterling (£),47120.0
247,2200.0,Monthly,9-11 years,3-5 years,Euros (€),28248.0
251,40000.0,Monthly,0-2 years,0-2 years,Russian rubles (₽),5280.0
252,37500.0,Yearly,12-14 years,9-11 years,Euros (€),40125.0
254,60000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),60000.0
255,650.0,Monthly,21-23 years,3-5 years,Euros (€),8346.0
256,7000.0,Monthly,9-11 years,3-5 years,Mexican pesos (MXN$),4956.0
257,2460000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),29520.0
259,105000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),105000.0
261,98000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),12936.0
264,100000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),100000.0
265,24000.0,Yearly,3-5 years,3-5 years,Euros (€),25680.0
267,160000.0,Monthly,3-5 years,3-5 years,Russian rubles (₽),21120.0
269,52000.0,Weekly,3-5 years,0-2 years,U.S. dollars ($),2704000.0
270,50000.0,Monthly,15-17 years,15-17 years,Swedish kroner (SEK),55200.0
271,36000.0,Yearly,12-14 years,9-11 years,Euros (€),38520.0
272,140000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),140000.0
274,38000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),5472.0
277,59500.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),59500.0
283,15000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),2160.0
286,60000.0,Yearly,18-20 years,15-17 years,British pounds sterling (£),74400.0
292,45000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),55800.0
293,45000.0,Yearly,12-14 years,6-8 years,Euros (€),48150.0
294,2750.0,Monthly,9-11 years,3-5 years,Euros (€),35310.0
297,200000.0,Monthly,9-11 years,9-11 years,Russian rubles (₽),26400.0
302,47000.0,Yearly,15-17 years,6-8 years,British pounds sterling (£),58280.0
305,75000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),75000.0
306,4000.0,Monthly,24-26 years,18-20 years,Euros (€),51360.0
307,70000.0,Yearly,30 or more years,21-23 years,U.S. dollars ($),70000.0
308,185000.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),185000.0
309,31000.0,Yearly,3-5 years,3-5 years,Euros (€),33170.0
311,1400000.0,Yearly,9-11 years,9-11 years,Indian rupees (₹),16800.0
312,125000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),125000.0
313,500.0,Weekly,9-11 years,3-5 years,U.S. dollars ($),26000.0
314,575.0,Monthly,3-5 years,0-2 years,Euros (€),7383.0
316,32000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),32000.0
317,240000.0,Yearly,0-2 years,0-2 years,Indian rupees (₹),2880.0
319,4530.0,Monthly,27-29 years,12-14 years,British pounds sterling (£),67406.4
320,35000.0,Monthly,6-8 years,0-2 years,Swedish kroner (SEK),38640.0
322,50000.0,Monthly,3-5 years,3-5 years,Brazilian reais (R$),114000.0
323,3600.0,Monthly,6-8 years,0-2 years,Euros (€),46224.0
324,91000.0,Yearly,18-20 years,9-11 years,British pounds sterling (£),112840.0
334,40000.0,Yearly,15-17 years,9-11 years,British pounds sterling (£),49600.0
335,125000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),125000.0
336,30000.0,Yearly,9-11 years,6-8 years,Euros (€),32100.000000000004
338,110000.0,Yearly,15-17 years,12-14 years,Australian dollars (A$),71500.0
339,720.0,Monthly,6-8 years,3-5 years,Euros (€),9244.800000000001
340,40000.0,Yearly,9-11 years,3-5 years,Euros (€),42800.0
341,155000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),155000.0
346,65000.0,Yearly,9-11 years,6-8 years,Canadian dollars (C$),47450.0
347,113000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),113000.0
348,127000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),127000.0
349,3850.0,Monthly,6-8 years,3-5 years,Euros (€),49434.0
350,47000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),47000.0
353,750000.0,Yearly,6-8 years,0-2 years,Indian rupees (₹),9000.0
354,200.0,Weekly,9-11 years,0-2 years,U.S. dollars ($),10400.0
355,64000.0,Yearly,24-26 years,24-26 years,U.S. dollars ($),64000.0
356,9950.5,Monthly,3-5 years,3-5 years,South African rands (R),6209.111999999999
358,90000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),90000.0
359,54000.0,Yearly,15-17 years,6-8 years,Canadian dollars (C$),39420.0
360,63529.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),63529.0
363,96000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),96000.0
365,60000.0,Yearly,15-17 years,12-14 years,Canadian dollars (C$),43800.0
366,200000.0,Monthly,12-14 years,9-11 years,Russian rubles (₽),26400.0
370,32500.0,Yearly,9-11 years,6-8 years,Euros (€),34775.0
372,850.0,Monthly,0-2 years,0-2 years,Euros (€),10914.0
379,45000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),55800.0
381,1500.0,Monthly,9-11 years,0-2 years,Euros (€),19260.0
382,25000.0,Yearly,6-8 years,0-2 years,Euros (€),26750.0
384,43000.0,Yearly,12-14 years,6-8 years,British pounds sterling (£),53320.0
386,35000.0,Monthly,9-11 years,3-5 years,Mexican pesos (MXN$),24780.0
387,105000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),105000.0
390,80000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),80000.0
393,2500.0,Monthly,9-11 years,6-8 years,Euros (€),32100.0
396,75000.0,Weekly,3-5 years,3-5 years,Canadian dollars (C$),2847000.0
397,1300.0,Monthly,3-5 years,6-8 years,Euros (€),16692.0
399,25000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),31000.0
401,106000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),106000.0
402,52000.0,Yearly,15-17 years,3-5 years,Euros (€),55640.0
403,62000.0,Yearly,9-11 years,3-5 years,British pounds sterling (£),76880.0
404,303140.0,Yearly,6-8 years,0-2 years,Indian rupees (₹),3637.6800000000003
406,50000.0,Weekly,3-5 years,3-5 years,U.S. dollars ($),2600000.0
409,14000.0,Monthly,18-20 years,12-14 years,Brazilian reais (R$),31920.0
414,10000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),1440.0
416,40000.0,Monthly,6-8 years,3-5 years,Euros (€),513600.0
419,70000.0,Yearly,30 or more years,24-26 years,Euros (€),74900.0
425,71000.0,Yearly,6-8 years,3-5 years,Canadian dollars (C$),51830.0
427,120000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),120000.0
428,130000.0,Yearly,30 or more years,18-20 years,U.S. dollars ($),130000.0
429,42000.0,Yearly,12-14 years,9-11 years,British pounds sterling (£),52080.0
430,78000.0,Yearly,21-23 years,21-23 years,U.S. dollars ($),78000.0
435,3000.0,Monthly,6-8 years,3-5 years,Euros (€),38520.0
436,3500.0,Monthly,9-11 years,3-5 years,Euros (€),44940.0
438,2100.0,Monthly,3-5 years,0-2 years,Euros (€),26964.0
439,34000.0,Yearly,6-8 years,0-2 years,Euros (€),36380.0
441,800000.0,Monthly,21-23 years,30 or more years,South African rands (R),499200.0
443,55000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),55000.0
445,75000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),75000.0
446,75000.0,Yearly,12-14 years,6-8 years,Canadian dollars (C$),54750.0
447,2800.0,Monthly,3-5 years,3-5 years,Euros (€),35952.0
448,700000.0,Yearly,0-2 years,0-2 years,Indian rupees (₹),8400.0
453,70000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),70000.0
457,350000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),4200.0
461,120000.0,Yearly,30 or more years,30 or more years,Canadian dollars (C$),87600.0
464,1000.0,Monthly,0-2 years,0-2 years,U.S. dollars ($),12000.0
465,58000.0,Yearly,9-11 years,0-2 years,U.S. dollars ($),58000.0
466,280000.0,Yearly,12-14 years,3-5 years,U.S. dollars ($),280000.0
467,77000.0,Yearly,21-23 years,21-23 years,British pounds sterling (£),95480.0
472,162100.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),162100.0
473,68000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),68000.0
475,57000.0,Monthly,9-11 years,3-5 years,U.S. dollars ($),684000.0
479,66000.0,Yearly,6-8 years,3-5 years,Canadian dollars (C$),48180.0
485,35000.0,Monthly,18-20 years,15-17 years,Mexican pesos (MXN$),24780.0
486,2500.0,Monthly,9-11 years,3-5 years,Euros (€),32100.0
487,80000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),80000.0
488,23.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),3.3120000000000003
490,3500.0,Monthly,9-11 years,6-8 years,Euros (€),44940.0
494,900000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),10800.0
495,180.0,Weekly,3-5 years,3-5 years,U.S. dollars ($),9360.0
496,300.0,Monthly,6-8 years,0-2 years,U.S. dollars ($),3600.0
497,800000.0,Yearly,12-14 years,6-8 years,Indian rupees (₹),9600.0
498,250000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),3000.0
499,900.0,Monthly,0-2 years,0-2 years,Euros (€),11556.0
500,50000.0,Yearly,6-8 years,6-8 years,British pounds sterling (£),62000.0
502,1500.0,Monthly,0-2 years,0-2 years,British pounds sterling (£),22320.0
504,120000.0,Yearly,6-8 years,3-5 years,Canadian dollars (C$),87600.0
505,5000.0,Weekly,12-14 years,6-8 years,Australian dollars (A$),169000.0
507,28000.0,Yearly,15-17 years,6-8 years,Euros (€),29960.0
508,4100.0,Monthly,15-17 years,9-11 years,Euros (€),52644.0
512,29000.0,Yearly,9-11 years,3-5 years,British pounds sterling (£),35960.0
517,80000.0,Yearly,9-11 years,3-5 years,Australian dollars (A$),52000.0
518,800000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),9600.0
519,1000.0,Monthly,15-17 years,9-11 years,Euros (€),12840.0
520,500.0,Monthly,0-2 years,0-2 years,Brazilian reais (R$),1140.0
521,4500.0,Monthly,27-29 years,18-20 years,Euros (€),57780.0
523,72500.0,Weekly,3-5 years,0-2 years,U.S. dollars ($),3770000.0
525,20000.0,Yearly,12-14 years,12-14 years,U.S. dollars ($),20000.0
527,2750.0,Monthly,3-5 years,3-5 years,Euros (€),35310.0
530,115000.0,Weekly,9-11 years,6-8 years,U.S. dollars ($),5980000.0
532,8000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),1152.0
533,2300000.0,Yearly,15-17 years,9-11 years,Indian rupees (₹),27600.0
534,85000.0,Yearly,30 or more years,24-26 years,Euros (€),90950.0
535,100000.0,Yearly,27-29 years,27-29 years,Canadian dollars (C$),73000.0
536,80000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),80000.0
537,136500.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),136500.0
538,140000.0,Yearly,21-23 years,12-14 years,Euros (€),149800.0
540,3000.0,Monthly,3-5 years,0-2 years,Euros (€),38520.0
541,780000.0,Yearly,15-17 years,9-11 years,Norwegian krone (kr),70980.0
542,1600.0,Monthly,3-5 years,0-2 years,Euros (€),20544.0
543,7400.0,Monthly,9-11 years,3-5 years,Brazilian reais (R$),16872.0
544,40000.0,Yearly,24-26 years,21-23 years,Euros (€),42800.0
545,140000.0,Yearly,24-26 years,21-23 years,U.S. dollars ($),140000.0
546,50000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),7200.0
550,140000.0,Yearly,18-20 years,6-8 years,U.S. dollars ($),140000.0
551,5000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),720.0
552,110000.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),110000.0
553,486000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),5832.0
555,105000.0,Yearly,21-23 years,21-23 years,U.S. dollars ($),105000.0
556,100000.0,Yearly,21-23 years,3-5 years,Swiss francs,110000.00000000001
557,744000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),8928.0
561,3200.0,Monthly,6-8 years,3-5 years,Euros (€),41088.0
563,1300.0,Monthly,6-8 years,0-2 years,Euros (€),16692.0
566,34000.0,Monthly,9-11 years,3-5 years,Indian rupees (₹),4896.0
569,150150.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),150150.0
570,50000.0,Monthly,6-8 years,6-8 years,Indian rupees (₹),7200.0
574,127000.0,Yearly,30 or more years,24-26 years,U.S. dollars ($),127000.0
575,2700.0,Monthly,9-11 years,6-8 years,U.S. dollars ($),32400.0
576,34000.0,Yearly,6-8 years,0-2 years,Euros (€),36380.0
577,500000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),6000.0
579,61000.0,Yearly,9-11 years,3-5 years,British pounds sterling (£),75640.0
580,100000.0,Yearly,18-20 years,18-20 years,Australian dollars (A$),65000.0
584,130000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),130000.0
585,3400.0,Monthly,9-11 years,6-8 years,Euros (€),43656.0
586,1750.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),21000.0
589,1800.0,Monthly,3-5 years,3-5 years,Euros (€),23112.0
597,2100000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),25200.0
599,40000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),5760.0
600,10000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),1440.0
604,75000.0,Yearly,15-17 years,15-17 years,British pounds sterling (£),93000.0
606,3000.0,Monthly,6-8 years,3-5 years,Polish złoty (zł),9000.0
607,56000.0,Yearly,6-8 years,9-11 years,Euros (€),59920.0
608,85000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),85000.0
610,3400.0,Monthly,15-17 years,6-8 years,Euros (€),43656.0
613,175000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),175000.0
616,58000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),58000.0
618,30000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),30000.0
620,2100.0,Monthly,6-8 years,3-5 years,Euros (€),26964.0
622,125000.0,Yearly,15-17 years,6-8 years,U.S. dollars ($),125000.0
627,90000.0,Yearly,12-14 years,9-11 years,Euros (€),96300.0
628,135000.0,Yearly,27-29 years,18-20 years,Canadian dollars (C$),98550.0
632,200000.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),200000.0
635,20754.0,Yearly,6-8 years,3-5 years,Euros (€),22206.780000000002
637,142000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),142000.0
641,8000.0,Monthly,12-14 years,3-5 years,Brazilian reais (R$),18240.0
644,1200.0,Monthly,3-5 years,3-5 years,Euros (€),15408.0
654,50000.0,Weekly,3-5 years,3-5 years,U.S. dollars ($),2600000.0
655,110000.0,Yearly,9-11 years,0-2 years,U.S. dollars ($),110000.0
656,43000.0,Monthly,18-20 years,15-17 years,Danish krone (kr),72240.00000000001
659,42000.0,Monthly,9-11 years,6-8 years,Euros (€),539280.0
662,230000.0,Monthly,3-5 years,3-5 years,Russian rubles (₽),30360.0
663,48000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),6912.0
667,100000.0,Yearly,9-11 years,6-8 years,Swiss francs,110000.00000000001
668,1700.0,Monthly,6-8 years,0-2 years,Brazilian reais (R$),3876.0
670,83000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),83000.0
671,72000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),72000.0
672,58000.0,Monthly,6-8 years,0-2 years,Russian rubles (₽),7656.0
674,53000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),53000.0
675,85000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),85000.0
676,2500.0,Monthly,9-11 years,6-8 years,U.S. dollars ($),30000.0
678,75000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),75000.0
680,42750.0,Yearly,6-8 years,3-5 years,Euros (€),45742.5
683,70000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),70000.0
686,35000.0,Monthly,9-11 years,6-8 years,Euros (€),449400.0
688,57000.0,Yearly,15-17 years,6-8 years,British pounds sterling (£),70680.0
691,84000.0,Monthly,15-17 years,9-11 years,Swiss francs,1108800.0000000002
694,34500.0,Yearly,0-2 years,0-2 years,British pounds sterling (£),42780.0
700,120000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),120000.0
701,543.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),6516.0
705,110000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),110000.0
707,45000.0,Yearly,18-20 years,0-2 years,Australian dollars (A$),29250.0
708,85000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),85000.0
710,30000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),4320.0
711,70000.0,Yearly,21-23 years,21-23 years,British pounds sterling (£),86800.0
712,96000.0,Yearly,9-11 years,0-2 years,U.S. dollars ($),96000.0
720,14500.0,Monthly,3-5 years,3-5 years,Chinese yuan renminbi (¥),24360.000000000004
721,130.0,Weekly,9-11 years,3-5 years,U.S. dollars ($),6760.0
725,2133540.96,Yearly,3-5 years,0-2 years,Indian rupees (₹),25602.49152
727,76000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),76000.0
730,14000.0,Monthly,6-8 years,3-5 years,Polish złoty (zł),42000.0
733,85000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),85000.0
734,60000.0,Yearly,18-20 years,18-20 years,British pounds sterling (£),74400.0
735,30000.0,Yearly,6-8 years,3-5 years,Euros (€),32100.000000000004
736,3000.0,Monthly,3-5 years,0-2 years,Euros (€),38520.0
737,130000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),130000.0
744,60000.0,Yearly,3-5 years,0-2 years,Australian dollars (A$),39000.0
745,1500.0,Monthly,0-2 years,0-2 years,Euros (€),19260.0
748,8000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),1152.0
751,95000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),95000.0
753,2800.0,Monthly,3-5 years,3-5 years,Euros (€),35952.0
754,80000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),80000.0
759,29000.0,Monthly,9-11 years,0-2 years,Indian rupees (₹),4176.0
760,4200.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),50400.0
771,18000.0,Yearly,3-5 years,0-2 years,Euros (€),19260.0
772,2400.0,Monthly,3-5 years,0-2 years,Euros (€),30816.0
773,45000.0,Yearly,18-20 years,3-5 years,Euros (€),48150.0
776,102000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),102000.0
777,25000.0,Yearly,0-2 years,0-2 years,British pounds sterling (£),31000.0
778,40000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),49600.0
779,95000.0,Yearly,15-17 years,15-17 years,Swiss francs,104500.00000000001
784,75000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),75000.0
788,51000.0,Yearly,15-17 years,12-14 years,British pounds sterling (£),63240.0
791,50000.0,Monthly,9-11 years,3-5 years,Indian rupees (₹),7200.0
793,32000.0,Yearly,6-8 years,3-5 years,Euros (€),34240.0
795,130000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),130000.0
796,28000.0,Monthly,3-5 years,0-2 years,Swedish kroner (SEK),30912.0
799,87000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),87000.0
802,300000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),300000.0
803,15000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),2160.0
805,72000.0,Monthly,6-8 years,0-2 years,Euros (€),924480.0
812,78000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),11232.0
