,Gender,System administrator,Student,Game or graphics developer,Designer,Embedded applications or devices developer,Marketing or sales professional,Back-end developer,Data scientist or machine learning specialist,Data or business analyst,Full-stack developer,DevOps specialist,"C-suite executive (CEO, CTO, etc.)",Engineering manager,Mobile developer,Product manager,Database administrator,QA or test developer,Front-end developer,Educator or academic researcher,Desktop or enterprise applications developer
145,Male,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0
146,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
147,Male,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
149,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
150,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
153,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
154,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
155,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
159,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
161,Male,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0
162,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
164,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
166,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,Male,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
171,Male,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
173,Male,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
175,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
177,Male,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
178,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179,Male,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0
181,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1
186,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
187,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,Male,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
190,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
191,Female,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
193,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
194,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
195,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
197,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
198,Male,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
199,Male,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
200,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
201,Male,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
204,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
211,Male,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0
212,Male,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
213,Male,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
215,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
216,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
218,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Male,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1
221,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
224,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
225,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
226,Male,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
229,Male,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
231,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
233,Male,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
234,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Male,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
236,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Male,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
240,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
241,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
243,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
244,Male,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
246,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Male,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
249,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Male,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
251,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
252,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
254,Male,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
255,Male,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
256,Female,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
257,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
264,Male,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
266,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
268,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
269,Female,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
270,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Male,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
274,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
275,Male,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
276,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
277,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
280,Male,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
282,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
283,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
284,Male,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
286,Male,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0
289,Male,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
290,Female,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
292,Male,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
293,Male,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
294,Male,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
297,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
299,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
300,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
301,Male,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
302,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
304,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
306,Male,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
308,Male,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
309,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
310,Male,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
311,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
312,Male,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
313,Male,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0
316,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
317,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
318,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
319,Male,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
320,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
322,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
323,Male,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
324,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
325,Male,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
326,Male,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
327,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
328,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
330,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
331,Male,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
332,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
334,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
335,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
336,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
337,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
338,Male,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
339,Male,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
340,Male,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
341,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
342,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
346,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
347,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
348,Female,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
349,Male,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
350,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
351,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1
353,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
354,Male,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
355,Female,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
356,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
357,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
358,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
360,Male,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1
362,Male,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
363,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
364,Male,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
365,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
366,Male,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
370,Female,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
371,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
372,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
373,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
377,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
379,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
381,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
382,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
385,Male,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
386,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
387,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Male,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
393,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
395,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
396,Male,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
398,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
399,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
401,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Male,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
403,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Female,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
406,Female,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
407,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1
408,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
409,Male,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
410,Male,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
414,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
415,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
416,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
417,Male,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
418,Male,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
419,Male,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
421,Male,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
422,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
424,Male,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
427,Male,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
428,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
429,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
430,Male,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
431,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
432,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
434,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
435,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
436,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Male,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
438,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
439,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
441,Male,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
442,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
444,Male,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
445,Male,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
